rxn number,sensitivity,cantera equation,cantera products,cantera reactants
3313,0.002214015334159617,CH2F(46) + OH(2) <=> CH2O(19) + HF(38),"{'CH2O(19)': 1.0, 'HF(38)': 1.0}","{'CH2F(46)': 1.0, 'OH(2)': 1.0}"
3095,0.0021486911205936955,CHFCF2(55) + O(6) <=> CF2O(49) + CHF(40),"{'CF2O(49)': 1.0, 'CHF(40)': 1.0}","{'CHFCF2(55)': 1.0, 'O(6)': 1.0}"
995,-0.002108933955546524,CH2CFO(79) + H(5) <=> CH2CO(27) + HF(38),"{'CH2CO(27)': 1.0, 'HF(38)': 1.0}","{'CH2CFO(79)': 1.0, 'H(5)': 1.0}"
524,-0.002103020436673767,CF3CCH(83) + F(37) <=> C3HF4(540),{'C3HF4(540)': 1.0},"{'CF3CCH(83)': 1.0, 'F(37)': 1.0}"
3094,-0.00208529503538217,CHFCF2(55) + O(6) <=> CF2(43) + CHFO(47),"{'CF2(43)': 1.0, 'CHFO(47)': 1.0}","{'CHFCF2(55)': 1.0, 'O(6)': 1.0}"
2130,0.0020847340049785293,C3HF2(210) + H2O2(11) <=> HO2(10) + S(129),"{'HO2(10)': 1.0, 'S(129)': 1.0}","{'C3HF2(210)': 1.0, 'H2O2(11)': 1.0}"
2123,-0.002064860464241554,C3HF3(150) + H(5) <=> C3HF2(210) + HF(38),"{'C3HF2(210)': 1.0, 'HF(38)': 1.0}","{'C3HF3(150)': 1.0, 'H(5)': 1.0}"
3230,0.0020582731506269135,HCO(14) + O2(3) <=> CHO2(640) + O(6),"{'CHO2(640)': 1.0, 'O(6)': 1.0}","{'HCO(14)': 1.0, 'O2(3)': 1.0}"
2111,-0.002011435354403318,C3HF2(210) + C3HF4(147) <=> C3HF3(150) + CF3CCH(83),"{'C3HF3(150)': 1.0, 'CF3CCH(83)': 1.0}","{'C3HF2(210)': 1.0, 'C3HF4(147)': 1.0}"
80,-0.0019546691489788826,CH2O(19) + H(5) <=> H2(7) + HCO(14),"{'H2(7)': 1.0, 'HCO(14)': 1.0}","{'CH2O(19)': 1.0, 'H(5)': 1.0}"
1431,-0.0019192283439380812,C3HF4(147) + CH2F(46) <=> CF3CCH(83) + CH2F2(41),"{'CF3CCH(83)': 1.0, 'CH2F2(41)': 1.0}","{'C3HF4(147)': 1.0, 'CH2F(46)': 1.0}"
555,0.0019037721389994762,C3HF4(84) + CH4(30) <=> C3H2F4(1) + CH3(18),"{'C3H2F4(1)': 1.0, 'CH3(18)': 1.0}","{'C3HF4(84)': 1.0, 'CH4(30)': 1.0}"
547,-0.0018974998425411547,F(37) + HO2(10) <=> HF(38) + O2(3),"{'HF(38)': 1.0, 'O2(3)': 1.0}","{'F(37)': 1.0, 'HO2(10)': 1.0}"
2328,-0.001880954456267471,C3HF4(147) + CHF2(82) <=> C3HF3(150) + CHF3(42),"{'C3HF3(150)': 1.0, 'CHF3(42)': 1.0}","{'C3HF4(147)': 1.0, 'CHF2(82)': 1.0}"
2329,-0.0018770341051523674,C3HF4(540) + CHF2(82) <=> C3HF3(150) + CHF3(42),"{'C3HF3(150)': 1.0, 'CHF3(42)': 1.0}","{'C3HF4(540)': 1.0, 'CHF2(82)': 1.0}"
499,-0.0018745295652717777,CF3(45) + O(6) <=> CF3O(48),{'CF3O(48)': 1.0},"{'CF3(45)': 1.0, 'O(6)': 1.0}"
636,0.0018458173992100043,S(175) <=> C3H2F4(1),{'C3H2F4(1)': 1.0},{'S(175)': 1.0}
2468,-0.0018148964018108369,CF2CH(73) + CH2F(46) <=> C2HF(58) + CH2F2(41),"{'C2HF(58)': 1.0, 'CH2F2(41)': 1.0}","{'CF2CH(73)': 1.0, 'CH2F(46)': 1.0}"
3028,0.0017790757999253605,C3HF4O(85) <=> CF2CF2(61) + HCO(14),"{'CF2CF2(61)': 1.0, 'HCO(14)': 1.0}",{'C3HF4O(85)': 1.0}
11,-0.0017454744962156126,H(5) + O(6) + M <=> OH(2) + M,{'OH(2)': 1.0},"{'H(5)': 1.0, 'O(6)': 1.0}"
309,0.0017285295404740426,C3H3F4(86) + O2(3) <=> C3H2F4(1) + HO2(10),"{'C3H2F4(1)': 1.0, 'HO2(10)': 1.0}","{'C3H3F4(86)': 1.0, 'O2(3)': 1.0}"
2088,0.0017243910211385675,C3HF2(210) + S(153) <=> CF3CCH(83) + CH2CF2(57),"{'CF3CCH(83)': 1.0, 'CH2CF2(57)': 1.0}","{'C3HF2(210)': 1.0, 'S(153)': 1.0}"
2291,0.0016704270901984084,CHF2(82) + S(153) <=> CH2CF2(57) + CHF3(42),"{'CH2CF2(57)': 1.0, 'CHF3(42)': 1.0}","{'CHF2(82)': 1.0, 'S(153)': 1.0}"
2266,0.001665177982302652,CFO(51) + O2(3) <=> CFO2(1113) + O(6),"{'CFO2(1113)': 1.0, 'O(6)': 1.0}","{'CFO(51)': 1.0, 'O2(3)': 1.0}"
500,0.0016059276239856612,CF3(45) (+M) <=> CF2(43) + F(37) (+M),"{'CF2(43)': 1.0, 'F(37)': 1.0}",{'CF3(45)': 1.0}
1046,-0.0015841323985139278,C3HF4O(85) + CF3(45) <=> CF4(44) + S(568),"{'CF4(44)': 1.0, 'S(568)': 1.0}","{'C3HF4O(85)': 1.0, 'CF3(45)': 1.0}"
1417,0.0015837579140923648,CH2CFO(79) + CH2F(46) <=> CH2CO(27) + CH2F2(41),"{'CH2CO(27)': 1.0, 'CH2F2(41)': 1.0}","{'CH2CFO(79)': 1.0, 'CH2F(46)': 1.0}"
